id,customer_id,product_id,rating,comment,created_at
1,14382,773,5,Absolutely fantastic! Exceeded all my expectations.,2023-05-25 16:02:22
2,14561,365,5,Super fast shipping and great customer service. 10/10.,2024-09-23 17:08:07
3,11120,3388,5,Super fast shipping and great customer service. 10/10.,2025-10-27 17:45:13
4,18771,2568,5,Absolutely fantastic! Exceeded all my expectations.,2025-09-15 07:48:16
5,14540,4433,5,"High quality build, works perfectly.",2023-07-03 14:31:16
6,14540,684,5,Best purchase I have made this year!,2023-07-03 19:31:16
7,12267,3932,3,"Average quality. It is decent, but nothing special.",2023-06-22 21:21:31
8,18100,3743,4,Good quality. Delivery was slightly delayed but product is solid.,2025-05-30 15:45:58
9,18240,2033,4,Satisfied with this purchase. Minor wear but looks great.,2023-02-27 11:15:42
10,2894,80,5,Best purchase I have made this year!,2023-01-29 21:43:57
11,2286,4129,5,Very satisfied. Definitely worth the money.,2023-07-16 09:41:04
12,7624,2933,5,Absolutely fantastic! Exceeded all my expectations.,2024-07-19 05:11:32
13,7624,2917,4,"Very good product, works as advertised.",2024-07-24 11:11:32
14,5985,1483,5,Absolutely fantastic! Exceeded all my expectations.,2023-07-24 09:42:32
15,4247,4104,5,Very satisfied. Definitely worth the money.,2025-06-02 21:57:12
16,4247,3825,1,"Defective on arrival, and customer service has been unhelpful.",2025-06-05 21:57:12
17,13483,2367,2,Not what I expected based on the pictures. Disappointed.,2023-12-03 16:06:50
18,17734,2702,3,"It does the job, but there are better alternatives out there.",2024-12-15 21:09:27
19,4046,4221,4,Good quality. Delivery was slightly delayed but product is solid.,2026-01-01 21:25:06
20,6162,443,5,Super fast shipping and great customer service. 10/10.,2026-06-21 16:14:55
21,5512,4834,5,Best purchase I have made this year!,2023-03-18 22:25:32
22,5850,3817,4,"Very good product, works as advertised.",2025-02-04 19:48:07
23,5539,1599,4,Satisfied with this purchase. Minor wear but looks great.,2024-10-16 15:10:24
24,17305,252,4,Good quality. Delivery was slightly delayed but product is solid.,2023-05-22 07:56:57
25,17305,3608,4,Satisfied with this purchase. Minor wear but looks great.,2023-05-15 05:56:57
26,15710,1946,5,Very satisfied. Definitely worth the money.,2025-07-17 18:38:08
27,15710,573,4,Good quality. Delivery was slightly delayed but product is solid.,2025-07-14 18:38:08
28,7472,1066,5,Super fast shipping and great customer service. 10/10.,2024-11-26 14:28:18
29,10378,4822,4,Good quality. Delivery was slightly delayed but product is solid.,2024-07-25 13:42:26
30,2172,672,1,"Defective on arrival, and customer service has been unhelpful.",2024-08-18 08:58:43
31,4936,2570,5,Best purchase I have made this year!,2023-08-29 15:32:14
32,759,2287,4,"Very good product, works as advertised.",2025-10-31 13:20:56
33,759,229,4,Good quality. Delivery was slightly delayed but product is solid.,2025-10-31 07:20:56
34,13469,1383,5,Very satisfied. Definitely worth the money.,2023-07-22 11:36:31
35,17623,332,5,Absolutely fantastic! Exceeded all my expectations.,2023-05-13 08:14:49
36,16179,4250,5,Absolutely fantastic! Exceeded all my expectations.,2024-12-27 19:52:53
37,9964,982,5,Very satisfied. Definitely worth the money.,2023-11-29 11:46:22
38,17120,4878,5,"High quality build, works perfectly.",2023-06-25 15:07:11
39,17433,1088,4,Solid performance and good value for money.,2024-10-16 16:15:39
40,668,1667,4,Solid performance and good value for money.,2025-10-20 15:51:13
41,13634,582,5,Absolutely fantastic! Exceeded all my expectations.,2024-12-10 15:13:58
42,5407,3670,5,Very satisfied. Definitely worth the money.,2023-12-19 12:29:14
43,5407,753,5,Absolutely fantastic! Exceeded all my expectations.,2023-12-20 09:29:14
44,4383,508,5,Absolutely fantastic! Exceeded all my expectations.,2024-09-21 14:22:14
45,10983,4716,4,Satisfied with this purchase. Minor wear but looks great.,2025-09-28 17:21:07
46,14541,2313,5,Best purchase I have made this year!,2026-03-25 17:26:58
47,14230,2419,5,Very satisfied. Definitely worth the money.,2023-03-12 09:17:31
48,6869,4743,5,"High quality build, works perfectly.",2023-11-16 13:54:01
49,5918,1523,5,Super fast shipping and great customer service. 10/10.,2026-06-06 13:18:19
50,16160,2731,5,"High quality build, works perfectly.",2025-10-06 15:53:17
51,636,4492,4,Solid performance and good value for money.,2024-02-07 21:32:14
52,636,1146,5,Super fast shipping and great customer service. 10/10.,2024-02-14 15:32:14
53,636,1741,5,Super fast shipping and great customer service. 10/10.,2024-02-14 20:32:14
54,14711,3170,5,Absolutely fantastic! Exceeded all my expectations.,2024-12-18 09:43:44
55,10701,2855,4,Satisfied with this purchase. Minor wear but looks great.,2026-06-18 14:48:13
56,2591,2319,4,"Very good product, works as advertised.",2024-05-06 16:55:06
57,6151,3081,5,Very satisfied. Definitely worth the money.,2023-07-10 12:09:52
58,8140,245,5,Best purchase I have made this year!,2026-03-21 15:56:24
59,538,2278,5,Very satisfied. Definitely worth the money.,2026-04-02 16:39:53
60,6272,3107,3,Decent product but shipping took way too long.,2024-06-21 21:08:35
61,14256,137,3,Works okay but I expected better material.,2025-08-13 11:22:21
62,3642,4413,5,"High quality build, works perfectly.",2025-01-26 18:13:50
63,17157,1702,3,"Average quality. It is decent, but nothing special.",2024-10-18 15:33:34
64,19560,1817,5,Super fast shipping and great customer service. 10/10.,2024-07-19 11:49:39
65,9518,605,5,Absolutely fantastic! Exceeded all my expectations.,2023-12-10 13:35:53
66,3038,2939,5,"High quality build, works perfectly.",2026-01-19 16:23:06
67,3038,1652,4,Solid performance and good value for money.,2026-01-16 14:23:06
68,10243,4021,5,"High quality build, works perfectly.",2024-10-25 16:25:16
69,9765,3851,5,Very satisfied. Definitely worth the money.,2024-04-06 22:27:45
70,9765,3640,5,Best purchase I have made this year!,2024-04-05 19:27:45
71,17981,1165,5,Best purchase I have made this year!,2023-09-14 01:29:32
72,7488,586,5,"High quality build, works perfectly.",2024-04-21 17:08:25
73,7488,1311,4,Satisfied with this purchase. Minor wear but looks great.,2024-04-21 10:08:25
74,11493,1315,5,Super fast shipping and great customer service. 10/10.,2025-06-15 16:57:08
75,15788,4348,5,"High quality build, works perfectly.",2023-11-27 09:38:10
76,15788,3968,3,"It does the job, but there are better alternatives out there.",2023-11-30 09:38:10
77,5603,1645,5,Best purchase I have made this year!,2024-07-16 09:16:07
78,12215,2651,5,Absolutely fantastic! Exceeded all my expectations.,2023-01-19 15:14:47
79,4589,1795,5,Very satisfied. Definitely worth the money.,2024-07-28 21:41:12
80,3569,2785,5,"High quality build, works perfectly.",2026-06-06 13:57:34
81,9584,3484,4,Solid performance and good value for money.,2023-07-27 19:38:46
82,17935,4178,5,"High quality build, works perfectly.",2023-11-04 14:19:15
83,1969,1341,3,Works okay but I expected better material.,2023-10-20 22:04:20
84,18820,2670,4,Solid performance and good value for money.,2026-06-24 19:57:14
85,4678,1513,4,Satisfied with this purchase. Minor wear but looks great.,2023-10-16 16:30:36
86,11685,3363,1,Waste of money. Complete garbage. Do not buy!,2024-11-10 09:00:15
87,11024,3774,5,Absolutely fantastic! Exceeded all my expectations.,2025-11-04 06:57:33
88,7191,2117,5,"High quality build, works perfectly.",2025-11-25 19:10:30
89,18388,4921,5,Super fast shipping and great customer service. 10/10.,2023-05-08 13:47:05
90,13566,3348,5,"High quality build, works perfectly.",2025-05-08 13:27:19
91,17006,3627,5,"High quality build, works perfectly.",2024-03-08 23:24:45
92,17006,2828,4,Solid performance and good value for money.,2024-03-10 23:24:45
93,12666,1293,4,Good quality. Delivery was slightly delayed but product is solid.,2025-11-30 13:09:50
94,12862,4784,4,Solid performance and good value for money.,2023-08-02 22:52:27
95,5685,737,5,Absolutely fantastic! Exceeded all my expectations.,2025-04-01 18:01:26
